time,m1,m2,m3,m4,m5
0,0.180,0.189,0.166,-0.051,-0.068
1,0.248,0.147,0.697,0.226,-0.286
2,0.096,0.074,0.861,0.028,0.103
3,0.290,0.067,0.642,0.218,0.014
4,0.119,0.475,0.910,0.342,0.273
5,0.174,0.152,0.763,0.477,0.118
6,0.460,0.197,0.230,0.227,0.055
7,0.540,0.285,0.596,0.723,0.594
8,0.485,0.417,0.404,0.739,0.499
9,0.480,0.210,-0.081,0.639,0.415
10,0.684,0.292,-0.179,0.606,0.191
11,0.439,0.314,-0.111,0.548,0.377
12,0.423,0.286,-0.370,0.058,0.363
13,0.628,0.139,-0.888,-0.047,0.208
14,0.533,-0.157,-0.314,-0.188,-0.112
15,0.560,-0.192,-0.504,-0.461,-0.451
16,0.545,-0.210,-0.337,-0.301,-0.104
17,0.597,-0.069,-0.162,-0.348,0.107
18,0.652,-0.042,0.134,-0.419,0.150
19,0.451,0.172,0.196,0.045,-0.140
20,0.551,0.286,0.119,-0.152,-0.716
21,0.495,0.352,-0.366,-0.159,-0.357
22,0.317,0.577,-0.496,-0.454,-0.245
23,0.291,0.427,0.316,-0.294,-0.313
24,0.180,0.189,0.166,-0.051,-0.068
