time,m1,m2,m3,m4
0,0.126,-0.802,-0.839,-1.101
1,0.022,-1.058,-1.241,0.404
2,-0.243,-0.891,-1.198,0.594
3,0.311,-0.614,-1.254,0.101
4,0.486,-0.105,-0.977,-0.031
5,0.350,-0.085,0.048,0.028
6,0.692,-0.521,-0.327,-0.028
7,0.404,-0.064,0.397,0.622
8,0.354,0.001,0.037,0.153
9,0.392,0.319,0.226,0.773
10,0.196,0.505,0.030,0.718
11,0.529,0.348,-0.275,0.768
12,0.628,0.837,-0.212,0.439
13,0.692,0.863,0.234,0.625
14,0.490,0.768,0.337,0.817
15,0.281,0.695,0.307,0.785
16,0.007,0.680,0.406,0.673
17,-0.359,0.830,0.311,-0.124
18,-0.123,0.110,0.098,-0.262
19,-0.230,0.035,-0.043,-0.645
20,-0.566,0.170,-0.307,-0.848
21,-0.850,0.097,0.200,-0.693
22,-1.120,-0.124,0.499,-0.044
23,-0.975,0.034,0.146,-0.742
24,0.126,-0.802,-0.839,-1.101
