time,m1,m2,m3,m4,m5
0,-0.250,-0.359,-0.040,-0.258,0.200
1,0.141,-0.028,-0.100,-0.109,0.135
2,0.238,0.184,0.120,0.174,0.322
3,0.308,0.269,0.464,0.201,0.464
4,0.300,0.002,0.597,0.280,0.420
5,0.290,0.328,0.668,0.393,0.569
6,0.027,0.440,0.782,0.149,0.561
7,0.072,0.558,0.858,0.482,0.540
8,0.232,0.700,0.953,0.272,0.819
9,0.123,0.499,0.837,0.236,0.421
10,0.506,0.518,0.943,0.484,0.649
11,0.938,0.614,0.899,0.407,0.429
12,0.919,0.473,0.668,0.313,0.083
13,0.712,0.275,0.277,0.416,-0.045
14,0.482,0.200,0.360,0.181,-0.306
15,0.640,0.064,0.166,0.075,-0.369
16,0.354,-0.086,-0.222,0.241,-0.337
17,0.170,0.015,-0.279,0.000,-0.422
18,0.275,-0.150,-0.850,-0.218,-0.436
19,0.340,-0.341,-1.034,-0.327,-0.332
20,0.525,-0.297,-0.686,-0.331,-0.338
21,0.195,-0.416,-0.815,-0.619,-0.501
22,-0.053,-0.647,-1.035,-0.608,-0.351
23,-0.356,-0.391,-0.756,-0.407,-0.420
24,-0.250,-0.359,-0.040,-0.258,0.200
