time,m1,m2,m3,m4,m5
0,-0.057941082,0.818551754,0.685175637,0.17902549,0.24433243
1,0.037819107,0.55343805,0.408806972,-0.019664123,0.752852272
2,0.452413786,0.787050873,0.166341081,0.55054891,0.401989776
3,0.622540757,0.60343225,0.666800069,0.703796282,0.854329398
4,0.563680509,0.619707303,0.849776993,0.818252085,0.758366103
5,0.921331533,0.315308818,0.627027081,0.897728511,0.518287138
6,0.788941151,-0.034298806,0.331659154,0.879628627,0.897567059
7,0.557785319,0.803414884,0.685050906,0.91168492,0.557695748
8,0.475444139,0.800086973,0.844404638,0.918792617,0.581116418
9,0.913570366,0.569274968,0.227445767,0.915320156,0.111301979
10,0.842942965,0.612051774,0.36394083,0.821599352,0.375785322
11,0.75453848,-0.154769292,-0.26989837,0.618596947,0.211025424
12,0.089763711,-0.571298832,-0.681330754,0.1853107,-0.461674355
13,-0.817688302,-0.068577214,-0.26994552,-0.197688607,-0.732083459
14,-0.443537588,-0.381175564,-0.782566428,-0.221622959,-0.803225833
15,-0.564387031,-0.891566635,-0.374139009,-0.21068808,-0.955147018
16,-0.693343312,-0.526992563,0.179502029,-0.692321274,-1.119067933
17,-0.051180008,0.056189984,0.564711152,-0.601325458,-0.479178293
18,-0.263578269,0.032251089,0.244193073,-0.719457073,-0.034449033
19,-0.326661554,-0.248972532,-0.31317702,-0.693236723,0.32782507
20,-0.436069477,-0.493579809,-1.453507219,-0.367754982,-0.204930427
21,-0.013293874,-0.263050429,-0.824179816,-0.407663486,0.083819929
22,-0.24105451,-0.04525387,0.269521699,-0.310142425,0.343525993
23,-0.523093385,0.524104436,0.457370116,-0.229881709,0.252179321
24,-0.057941082,0.818551754,0.685175637,0.17902549,0.24433243
