time,m1,m2,m3,m4,m5
0,0.49320224,0.287887109,0.627764396,0.149168089,0.028946882
1,0.27802856,0.655313787,0.659708661,0.208113939,-0.047092823
2,0.455718914,0.610841491,0.503582499,0.100677243,0.272545643
3,0.513562266,0.621144686,0.622790688,0.266080044,0.462280278
4,0.437328454,0.815480416,0.773385491,0.047997493,0.340353839
5,0.447330939,0.752750612,0.64815019,0.512338307,0.626312554
6,0.53194465,0.019424899,0.569999482,0.316693379,0.647809215
7,0.477916549,-0.33831957,0.718121746,0.373325124,0.510487884
8,0.448503279,-0.048028535,-0.253805892,0.11023602,0.681884139
9,0.446260903,-0.539887419,-0.456876303,0.650777995,0.484426713
10,0.217145933,-0.500763481,-0.508429993,0.743124321,-0.305052731
11,0.426550448,-0.146231153,-0.441735272,0.22227101,-0.668145801
12,0.323042242,-0.281357518,-0.38827267,0.168629952,-0.759245385
13,0.234848079,0.00042804,-0.060174361,0.176543954,-0.347083164
14,0.515421299,0.237956514,0.708650434,0.524982467,-0.07208422
15,0.059341321,0.014984733,0.207345194,0.241767635,-0.384107597
16,0.040251737,0.316215564,0.143401321,0.152749248,-0.050318416
17,-0.043631246,-0.039731895,-0.191805493,-0.372970359,0.443806893
18,-0.007806051,0.189642293,-0.203332427,0.035967346,0.295549684
19,-0.203055377,0.485850487,-0.032150349,-0.621570059,-0.094491182
20,-0.032829889,0.056897821,0.59034911,0.012277057,-0.268024878
21,0.173748781,-0.390215495,0.721689215,-0.534315452,-0.381547619
22,0.149890007,0.143989275,0.57314688,-0.771900488,0.066901982
23,0.523722593,0.393515141,0.553260024,-0.64005494,-0.096894373
24,0.49320224,0.287887109,0.627764396,0.149168089,0.028946882
