CT (hr),c-fos_positve_count
0,1103.997487
0,1276.313054
0,1295.000947
0,1346.904061
0,1475.621013
0,1500.534507
4,799.1841486
4,911.2948753
4,1064.928093
4,1131.366851
4,1189.495567
4,1347.281034
8,1032.089845
8,1057.00334
8,1158.730672
8,1362.19088
8,1476.377731
12,426.2356729
12,745.9588563
12,775.0273721
12,797.8647424
12,1001.32495
12,1032.466819
16,306.1974212
16,387.1662794
16,412.0770023
16,426.6181899
16,445.3005391
20,298.2754399
20,325.2622874
20,356.4069278
20,385.467128
20,418.687893
24,1060.587358
24,1075.12023
24,1087.582521
24,1102.115393
24,1228.756219
24,1268.199814
28,1009.063988
28,1291.414158
28,1395.22593
28,1418.066072
28,1469.960871
32,1102.866567
32,1150.61466
32,1341.623664
32,1418.437501
32,1432.970373
32,1482.794591
36,573.8317757
36,685.9452742
36,744.0712184
36,866.5681116
36,1074.180568
40,362.4468149
40,379.0558114
40,395.664808
40,437.1872993
40,528.5367803
44,263.167037
44,288.0833037
44,333.760816
44,433.4092516
